AE.01.101	Abu Dhabi Municipality
AE.01.102	Al Ain Municipality
AE.01.103	Al Dhafra
AE.03.600	Sector 6
AE.03.200	Sector 2
AE.03.800	Sector 8
AE.03.100	Sector 1
AE.03.500	Sector 5
AE.03.700	Sector 7
AE.03.300	Sector 3
AF.08.609	Gēlān
AF.01.1115	Argō
AF.01.1108	Bahārak
AF.01.1116	Darāyim
AF.01.1117	Darwāz-e Bālā
AF.01.1110	Darwāz-e Pā’īn
AF.01.1101	Faīẕābād
AF.01.1107	Ishkāshim
AF.01.1103	Jurm
AF.01.1118	Khāsh
AF.01.1111	Khwāhān
AF.01.1102	Kishim
AF.01.1119	Kōhistān
AF.01.1120	Kūf Āb
AF.01.1112	Rāghistān
AF.01.1124	Tashkān
AF.01.1106	Wākhān
AF.01.1125	Wardūj
AF.01.1127	Yamgān
AF.01.1128	Yāwān
AF.01.1105	Zaybāk
AF.02.1902	Āb-e Kamarī
AF.02.1905	Ghōrmāch
AF.02.1904	Jowand
AF.02.1907	Muqur
AF.02.1906	Murghāb
AF.02.1903	Qādis
AF.02.1901	Qal‘ah-ye Now
AF.03.1307	Andarāb
AF.03.1311	Baghlān-e Jadīd
AF.03.1310	Būrkah
AF.03.1303	Dahanah-ye Ghōrī
AF.03.1312	Deh-e Şalāḩ
AF.03.1304	Dōshī
AF.03.1306	Khinjān
AF.03.1309	Nahrīn
AF.03.1302	Pul-e Ḩişār
AF.03.1305	Tālah wa Barfak
AF.05.2803	Kahmard
AF.05.2805	Panjāb
AF.05.2807	Sayghān
AF.05.2804	Yakāwlang
AF.06.2107	Anār Darah
AF.06.2102	Bakwāh
AF.06.2103	Gulistān
AF.06.2109	Lāsh-e Juwayn
AF.06.2104	Pur Chaman
AF.06.2108	Qal‘ah-ye Kāh
AF.06.2110	Shayb Kōh
AF.07.1811	Khān-e Chahār Bāgh
AF.07.1803	Almār
AF.07.1812	Andkhōy
AF.07.1806	Bal Chirāgh
AF.07.1809	Dowlatābād
AF.07.1807	Gurzīwān
AF.07.1805	Kōhistān
AF.07.1801	Maīmanah
AF.07.1804	Qaīşār
AF.07.1810	Qaram Qōl
AF.07.1814	Qurghān
AF.07.1808	Shīrīn Tagāb
AF.08.611	Āb Band
AF.08.614	Andaṟ
AF.08.615	Deh Yak
AF.08.601	Ghaznī
AF.08.607	Jāghūrī
AF.08.603	Khwājah ‘Omarī
AF.08.608	Muqêr
AF.08.604	Nāwur
AF.08.613	Qarah Bāgh
AF.08.619	Walī Muḩammad Shahīd Khūgyāṉī
AF.09.2701	Chaghcharān
AF.09.2710	Dū Laīnah
AF.09.2709	Dowlatyār
AF.09.2707	La‘l wa Sar Jangal
AF.09.2706	Pasāband
AF.09.2704	Sāghar
AF.09.2702	Shahrak
AF.09.2705	Taywarah
AF.09.2703	Tūlak
AF.10.2310	Dīshū
AF.10.2301	Lashkar Gāh
AF.10.2304	Mūsá Qal‘ah
AF.10.2308	Nād ‘Alī
AF.10.2302	Nahr-e Sarāj
AF.10.2313	Rēg-e Khān Neshīn
AF.10.2312	Sangīn
AF.10.2307	Wāshēr
AF.11.2011	Adraskan
AF.11.2015	Chisht-e Sharīf
AF.11.2013	Farsī
AF.11.2009	Ghōriyān
AF.11.2007	Gulrān
AF.11.2002	Injīl
AF.11.2005	Karukh
AF.11.2008	Kuhsān
AF.11.2006	Kushk
AF.11.2016	Kushk-e Kuhnah
AF.11.2003	Guz̄arah
AF.11.2012	Ōbêh
AF.11.2014	Shīnḏanḏ
AF.11.2010	Zindah Jān
